F0010;F0020;F0100;F0101;F0110;F0120;F0130;F0140;F0150;F0160;F0170;F0180;F0190;F0200;F0210;F0220;F0230;F0240;F0250;F0260;F0270;MF0190;MF0200
5;52;3459530;F001;1.9653034534754;03;01;1;01;5;2;13;1;4;10;;0;1;4;700;;0;0
5;52;2888943;F001;7.9295997782159;03;01;1;01;2;2;11;2;4;01;;0;1;1;1806;1;0;0
5;52;476493;F001;7.0562131395262;03;01;1;01;2;2;12;1;4;05;;0;1;1;606;;0;0
5;52;1506952;F001;4.7386243553992;03;01;1;01;4;2;09;3;4;03;;1;3;1;1750;1;0;0
5;52;7677164;F001;5.7540955608237;03;01;1;01;3;2;11;3;4;03;;1;2;1;1633.33;1;0;0
5;52;6406482;F001;5.6694800951449;03;01;1;01;3;1;10;3;4;03;;1;1;2;2000;1;0;0
5;52;103775;F001;2.2740956760829;03;01;1;01;2;2;17;1;1;05;;1;0;2;1212;;0;0
5;52;5152636;F001;5.0845815484889;03;01;1;01;2;1;09;1;4;01;;0;1;1;1606;1;0;0
5;52;5565313;F001;4.1738956638167;03;01;1;01;3;2;09;4;1;10;;0;1;2;1633.33;;0;0
5;52;2181972;F001;4.3331625880763;03;01;1;01;2;2;13;1;1;10;;0;1;1;606;;0;0
5;52;2464221;F001;6.1509030176041;01;01;1;01;2;2;12;4;1;01;;0;1;1;9050;1;0;0
5;52;3427893;F001;5.0076942756451;01;01;1;01;4;2;07;4;1;03;;2;2;2;1325;1;0;0
5;52;7739614;F001;5.9351507897767;01;01;1;01;2;1;09;2;4;01;;0;1;1;2900;2;0;0
5;52;2505531;F001;5.3755155687977;01;01;1;01;2;2;07;2;4;05;;1;1;1;200;;0;0
5;52;5038384;F001;5.9948472591963;01;01;1;01;3;2;05;2;4;05;;2;1;2;404;;0;0
5;52;1518067;F001;5.2774900906717;01;01;1;01;3;1;13;3;1;03;;0;2;1;3666.67;1;0;0
5;52;5265456;F001;5.4002702843806;01;01;1;02;3;2;08;1;4;05;;0;2;1;804;;0;0
5;52;5265456;F002;5.4002702843806;01;01;1;03;2;;;;;;1;;1;1;1256;;9;9
